shitcan someone	（人を）解雇する、追い出す（非常にくだけた俗語）	He's trying to shitcan her.	彼は彼女を追い出そうとしている。
eat off someone's plate	（人の）手柄・得点を横取りする	Ganon thinks she's eating off his plate.	ギャノンは、彼女が自分の手柄を横取りしていると思っている。
read someone in	（人に）内部事情・機密情報を教える、事情を共有する（諜報用語）	It's why I read you in.	だからこそ、あなたに内部事情を教えたのよ。
take the torch from someone	（人から）役割・使命を引き継ぐ	Building a VP who could take the torch from an old man.	高齢の大統領から後継の役割を引き継げる副大統領を育てていた。
take the edge off	（緊張・不快感などを）和らげる	An apology could take the edge off.	謝罪があれば、多少は角が立たずに済むかもしれない。
boil over	（事態が）激化する、沸騰して噴き出す	He's trying to keep the Gulf from boiling over.	彼は湾岸情勢がこれ以上激化しないよう抑えようとしている。
make an oopsie	うっかりミスをする（幼稚な言い回しを皮肉的に使用）	I'm not calling him to say I made an oopsie.	「うっかりミスしちゃった」と謝るために電話するつもりはない。
on the books	正式に記録・登録された状態で（ここでは「正式に着任済み」の意）	You're not on the books yet.	あなたはまだ正式に着任した扱いになっていないのよ。
get it up for something	（気乗りしないことにも）やる気を出す、奮起する（比喩的表現）	Even I can get it up for averting another bloodbath in the motherfucking Gulf.	私でさえ、あの湾岸でまた大惨事が起きるのを防ぐためなら奮起できるわ。
media darling	メディアのお気に入り、人気者	A media darling by sunup.	夜が明ける頃には、メディアの寵児になっているでしょうね。
drop-kick someone into something	（人を）強引に・唐突にある状況に放り込む	Drop-kicked me into the center of the action.	私を、いきなり事態の中心に放り込んだ。
do someone a solid	（人に）便宜を図る、恩を売る（くだけた口語表現）	The president asked me to do him a solid.	大統領が私に、彼のために一肌脱いでくれと頼んだの。
cut a fucking ulcer	猛烈にストレスを感じる、胃に穴が開くほど苦しむ（下品な誇張表現）	She is cutting a fucking ulcer because she has to make nice with a reporter.	記者に愛想よくしなければならなくて、胃に穴が開くほどのストレスを感じている。
make nice with someone	（人に）愛想よくする、機嫌を取る	She has to make nice with a reporter.	彼女は記者に愛想よくしなければならない。
a frog in a pot of water	茹でガエル（少しずつ環境に慣らされて危機に気づかない例え）	She is a frog in a pot of water. We have six months.	彼女は鍋の中のカエルのようなもの。私たちには半年ある。
pick a wedgie	食い込んだ下着を直す（くだけた表現）	I scratched my face and picked a wedgie.	顔を掻いて、食い込んだ下着を直したわ。
a handful	手のかかる人、扱いにくい人	He's a handful, but people love him.	彼は手のかかる人だけど、みんなに愛されている。
give someone a break	大目に見てやる、勘弁してやる	Give them a break. They need a picture for the website.	大目に見てやって。ウェブサイト用の写真が必要なだけなんだから。
come at a cost	何らかの代償を伴う	Always comes at a cost.	いつだって何かしらの代償が伴う。
step in	（対応・仕事に）割って入る、乗り出す	At this point, they're asking you to step in.	この段階で、彼らはあなたに対応に乗り出してほしいと言っている。
light the place up	（比喩的に）攻撃して火の海にする、徹底的にやっつける	I swear, we're gonna light the place up.	誓って言うが、あそこを火の海にしてやる。
on its face	一見したところ、表面的には	On its face, it's credible.	表面的には信憑性があるように見える。
