as far as rebounds go	立て直し策としては、巻き返しという観点では	As far as rebounds go, you don't have to survive a campaign.	立て直し策としては、少なくとも選挙戦を生き抜く必要はない。
air-drop someone in	（準備なしに）いきなり現場に投入する（空挺降下から転じた表現）	We air-drop you in to govern, maybe you catch fire.	あなたをいきなり統治の現場に放り込む。うまくいけば注目を集めるかもしれない。
catch fire	（人気・評判が）一気に高まる	Maybe you catch fire.	もしかしたら注目の的になるかもしれない。
ass-floss	Tバック、紐パンツ（下品な俗語）	And then an agreement. Yes, she will wear ass-floss, but only two days out of seven.	そして合意に至った。彼女はTバックを履くけど、週に2日だけ。
bank something	（権利・日数などを）繰り越して蓄える	Days cannot be banked week to week.	日数は週をまたいで繰り越すことはできない。
friend of the court	利害関係のない立場からの助言者（本来は法律用語だが、ここでは皮肉交じりに使用）	As a friend of the-- Friend of the court.	友人として……いや、中立的な助言者としてね。
surface	（問題・事実などが）表面化する、明るみに出る	The $6 million NIH grant that went missing had just surfaced.	消えた600万ドルのNIH助成金の件が、ちょうど表面化したところだった。
toss around ideas	（案などを）あれこれ検討する	We tossed around a couple names.	何人かの名前を候補として挙げてみた。
spitball	思いつきを気軽に出し合う、ブレインストーミングする	It wasn't a plan. We were spitballing.	あれは計画じゃなかった。ただの思いつきの話し合いだった。
get one's sea legs	（新しい環境に）慣れる、うまく適応する（船に慣れることから）	Get your sea legs, get used to the spotlight.	新しい環境に慣れて、注目される立場にも慣れていく。
a shit show	大混乱、めちゃくちゃな状況（下品な口語表現）	This place is a shit show.	ここはもう滅茶苦茶な状態だ。
undaunted by something	（困難・複雑さなどに）ひるまない	You are undaunted by complexity.	あなたは複雑な事態にもひるまない。
a clusterfuck	収拾のつかない大混乱（非常に下品な俗語）	A preternatural ability to un-fuck clusterfucks.	手のつけられない大混乱を、異常なまでの能力で収拾してしまう。
sack up	度胸を出す、腹をくくる（下品な俗語、"man up"に近い）	Tell her to sack up.	彼女に腹をくくれと伝えてくれ。
knock off something	（その行為・態度を）やめる	Just knock off that "I resign" shit.	その「辞任する」みたいな態度はもうやめてくれ。
piss someone off	（人を）怒らせる、いらだたせる	It really pisses me off.	それには本当に腹が立つ。
a turd	くだらない奴、嫌な奴（人に対する下品な侮蔑語）	He's gonna be a real turd about this.	彼はこの件でかなり嫌な態度を取るだろう。
a keel report	艦底報告書、船体の浸水状況に関する報告（劇中で使われる軍事用語風の造語）	Ambassador Wyler asked if you'd ask the secretary of defense for a keel report.	ワイラー大使が、国防長官にキール・レポート（艦体状況報告）を求めてほしいと言っている。
take on water	浸水する（比喩的に「（組織・計画などが）危機に陥る」の意味でも使われる）	The carrier is taking on water.	空母は浸水している。
remain afloat	沈まずに持ちこたえる（比喩的にも「持ちこたえる」の意）	Seal off the debilitated compartment, and remain afloat.	損傷区画を密閉して、沈まずに持ちこたえる。
a distress call	遭難信号、救助要請	This is a distress call coming from a senior government official.	これは政府高官からの救助要請だ。
drink the Kool-Aid	疑いもせず信じ込む、盲信する（アメリカ英語のイディオム）	I drank the Kool-Aid, like a fucking child.	私は子供みたいに、何の疑いもなく信じ込んでしまった。
bullshit	でたらめ、たわ言	Was it bullshit? -No. It was incomplete.	あれはでたらめだったの？-いや、不完全だっただけだ。
unvarnished	飾り気のない、ありのままの	Something about your charmingly foul mouth makes me feel like you appreciate the unvarnished.	口が悪いところが妙に魅力的で、あなたは飾らない真実を評価するタイプだと感じるの。
a bolt from the heavens	青天の霹靂、予期せぬ衝撃的な出来事（"a bolt from the blue"の変奏表現）	I mean, really like a bolt from the heavens.	まさに青天の霹靂と言うべき話ね（皮肉）。
lure someone/something	誘い込む、おびき寄せる	He's luring a strike force into the Persian Gulf.	彼は攻撃部隊をペルシャ湾へおびき寄せようとしている。
the house is on fire	一刻を争う緊急事態だ（比喩表現）	If the house is on fire, tell me.	もし本当に一大事なら、教えてくれ。
drop to one's knees	ひざまずく、必死に懇願する	I didn't drop to my knees.	私はひざまずいてまで頼んだわけじゃない。
pilfer something	（こそこそと）盗む、くすねる	Which they had pilfered from the Chinese in 1882.	それは1882年に中国から盗み取ったものだった。
get a rise out of someone	（人を）からかって反応を引き出す、挑発して反応させる	I can't get a rise out of my lot unless I strike a child with my car.	子供を車で轢くくらいしないと、うちの連中は反応すらしてくれない。
scout the grounds	（場所を）下見する	I haven't scouted the grounds.	まだ敷地を下見していない。
the least bad idea	最も無難な（消去法での）選択肢	It was the least bad idea, so I said yes.	消去法で一番マシな案だったから、了承したの。
a litmus test	試金石、真価を試すもの	That everyone's watching? That it's a litmus test?	みんなが注視している、これが試金石だということ？
the straw that will break something	限界を超えさせる最後の一撃（ことわざ"the last straw"のもじり）	This is not the straw that will break the alliance.	これは同盟を破綻させる最後の一撃にはならない。
a pinkie promise	指切りげんまん、子供っぽい固い約束	It's a pinkie promise like I made with Jason Slavick when I was 10.	それは、私が10歳の時にジェイソン・スラヴィックと交わした指切りの約束のようなものだ。
split hairs	些細な違いにこだわる、細かく議論する	I spend my days splitting hairs, but that's the job I raised my hand for.	私は日々些細な違いにこだわって決断しているが、それが自ら志願した仕事だ。
kiss someone's ass	（人に）へつらう、ご機嫌取りをする（下品な口語表現）	That makes me the one person in the world who isn't trying to kiss your ass.	それで私は、あなたにへつらおうとしない世界で唯一の人間になるわけだ。
